time0;time;mode;uncertainty;skew
2007.25;2007.25;2.52;0.3066;0
2007.25;2007.5;2.25;0.4292;0
2007.25;2007.75;2.06;0.5398;0
2007.25;2008;1.95;0.6033;0
2007.25;2008.25;1.83;0.635;0
2007.25;2008.5;1.79;0.66;0.05
2007.25;2008.75;1.88;0.6917;0.12
2007.25;2009;1.92;0.7157;0.16
2007.25;2009.25;1.98;0.7332;0.2
2007.25;2009.5;2.03;0.7441;0.2
2007.25;2009.75;2.03;0.7456;0.2
2007.25;2010;2;0.7596;0.2
2007.25;2010.25;2;0.7666;0.2
2007.5;2007.5;2.07;0.3112;0
2007.5;2007.75;2.1;0.4357;0
2007.5;2008;2.1;0.548;0
2007.5;2008.25;2.05;0.6124;0
2007.5;2008.5;2.03;0.6447;0
2007.5;2008.75;2.04;0.6715;0.03
2007.5;2009;1.99;0.7059;0.06
2007.5;2009.25;1.99;0.7323;0.08
2007.5;2009.5;2;0.7511;0.1
2007.5;2009.75;1.99;0.7622;0.1
2007.5;2010;1.93;0.7639;0.1
2007.5;2010.25;1.9;0.7781;0.1
2007.5;2010.5;1.87;0.7853;0.1
2007.75;2007.75;1.9;0.3153;0
2007.75;2008;2.07;0.4414;0
2007.75;2008.25;2.16;0.536;0
2007.75;2008.5;2.27;0.5991;0
2007.75;2008.75;2.27;0.6306;0
2007.75;2009;2.23;0.6765;0
2007.75;2009.25;2.04;0.7321;0
2007.75;2009.5;2;0.7852;0
2007.75;2009.75;2;0.8141;0
2007.75;2010;2;0.8154;0
2007.75;2010.25;2;0.8217;0
2007.75;2010.5;2;0.8237;0
2007.75;2010.75;2;0.8245;0
2008;2008;2.53;0.3116;0
2008;2008.25;2.89;0.4363;0
2008;2008.5;3.02;0.5298;0
2008;2008.75;2.8;0.5921;0
2008;2009;2.45;0.6233;0
2008;2009.25;2.24;0.6706;0
2008;2009.5;2.22;0.7287;0
2008;2009.75;2.22;0.7842;0
2008;2010;2.24;0.8143;0
2008;2010.25;2.24;0.8156;0
2008;2010.5;2.22;0.822;0
2008;2010.75;2.19;0.824;0
2008;2011;2.12;0.8248;0
2008.25;2008.25;2.98;0.318;0.04
2008.25;2008.5;3.64;0.4452;0.06
2008.25;2008.75;3.7;0.5406;0.07
2008.25;2009;3.6;0.6042;0.08
2008.25;2009.25;3.05;0.636;0.08
2008.25;2009.5;2.71;0.6832;0.1
2008.25;2009.75;2.29;0.7408;0.12
2008.25;2010;2.25;0.7959;0.14
2008.25;2010.25;2.19;0.8257;0.15
2008.25;2010.5;2.12;0.8271;0.15
2008.25;2010.75;2.06;0.8335;0.15
2008.25;2011;2;0.8355;0.15
2008.25;2011.25;1.92;0.8363;0.15
2008.5;2008.5;4.9;0.378;0.05
2008.5;2008.75;4.8;0.5469;0.07
2008.5;2009;4.83;0.6855;0.08
2008.5;2009.25;4.12;0.79;0.1
2008.5;2009.5;2.97;0.8316;0.1
2008.5;2009.75;2.66;0.881;0.15
2008.5;2010;2.28;0.9388;0.21
2008.5;2010.25;2;0.9946;0.27
2008.5;2010.5;1.85;1.0267;0.3
2008.5;2010.75;1.78;1.0355;0.3
2008.5;2011;1.69;1.0463;0.3
2008.5;2011.25;1.65;1.0516;0.3
2008.5;2011.5;1.59;1.0541;0.3
2008.75;2008.75;4.2;0.4354;0
2008.75;2009;4.09;0.6278;0
2008.75;2009.25;3.18;0.7902;0
2008.75;2009.5;1.73;0.9081;0
2008.75;2009.75;1.7;0.9558;0
2008.75;2010;1.23;1.0135;0
2008.75;2010.25;1;1.0791;0
2008.75;2010.5;0.85;1.1477;0
2008.75;2010.75;0.89;1.1825;0
2008.75;2011;0.95;1.1899;0
2008.75;2011.25;1.05;1.1996;0
2008.75;2011.5;1.18;1.2125;0
2008.75;2011.75;1.25;1.214;0
2009;2009;2.69;0.4354;0
2009;2009.25;1.6;0.6278;0
2009;2009.5;0.77;0.7902;0
2009;2009.75;0.68;0.9081;0
2009;2010;1.39;0.9558;0
2009;2010.25;1.02;1.0135;-0.06
2009;2010.5;0.78;1.0791;-0.14
2009;2010.75;0.76;1.1477;-0.21
2009;2011;0.5;1.1825;-0.25
2009;2011.25;0.76;1.1899;-0.25
2009;2011.5;0.92;1.1996;-0.25
2009;2011.75;0.99;1.2125;-0.25
2009;2012;1.13;1.214;-0.25
2009.25;2009.25;1.91;0.4354;0.23
2009.25;2009.5;0.73;0.6278;0.33
2009.25;2009.75;0.36;0.7902;0.41
2009.25;2010;0.77;0.9081;0.48
2009.25;2010.25;0.73;0.9558;0.5
2009.25;2010.5;1;1.0142;0.37
2009.25;2010.75;1.16;1.0786;0.23
2009.25;2011;1.07;1.1463;0.08
2009.25;2011.25;1.2;1.1825;0
2009.25;2011.5;1.32;1.1899;0
2009.25;2011.75;1.43;1.1996;0
2009.25;2012;1.53;1.2125;0
2009.25;2012.25;1.62;1.214;0
2009.5;2009.5;1.28;0.4354;0
2009.5;2009.75;1.28;0.6278;0
2009.5;2010;2.14;0.7902;0
2009.5;2010.25;1.83;0.9081;0
2009.5;2010.5;1.55;0.9558;0
2009.5;2010.75;1.38;1.0135;0
2009.5;2011;0.94;1.0791;0
2009.5;2011.25;1.21;1.1477;0
2009.5;2011.5;1.42;1.1825;0
2009.5;2011.75;1.52;1.1899;0
2009.5;2012;1.6;1.1996;0
2009.5;2012.25;1.65;1.2125;0
2009.5;2012.5;1.68;1.214;0
2009.75;2009.75;1.85;0.5442;0
2009.75;2010;2.71;0.7848;0
2009.75;2010.25;2.33;0.9878;0
2009.75;2010.5;1.76;1.1351;0
2009.75;2010.75;1.61;1.1948;0
2009.75;2011;1.1;1.2668;0
2009.75;2011.25;1.33;1.3488;0
2009.75;2011.5;1.52;1.4346;0
2009.75;2011.75;1.65;1.4781;0
2009.75;2012;1.79;1.4874;0
2009.75;2012.25;1.89;1.4996;0
2009.75;2012.5;2;1.5157;0
2009.75;2012.75;2.15;1.5175;0
2010;2010;3.33;0.5442;0.09
2010;2010.25;2.76;0.7848;0.13
2010;2010.5;1.91;0.9878;0.17
2010;2010.75;1.53;1.1351;0.19
2010;2011;0.84;1.1948;0.2
2010;2011.25;0.88;1.2668;0.25
2010;2011.5;0.96;1.3488;0.31
2010;2011.75;1.04;1.4346;0.37
2010;2012;1.17;1.4781;0.4
2010;2012.25;1.27;1.4874;0.41
2010;2012.5;1.38;1.4996;0.42
2010;2012.75;1.53;1.5157;0.43
2010;2013;1.58;1.5175;0.44
2010.25;2010.25;3.3;0.5442;0.05
2010.25;2010.5;2.54;0.7848;0.07
2010.25;2010.75;2.28;0.9878;0.08
2010.25;2011;1.7;1.1351;0.1
2010.25;2011.25;1.4;1.1948;0.1
2010.25;2011.5;1.39;1.2668;0.13
2010.25;2011.75;1.31;1.3488;0.15
2010.25;2012;1.32;1.4346;0.18
2010.25;2012.25;1.36;1.4781;0.2
2010.25;2012.5;1.45;1.4874;0.2
2010.25;2012.75;1.59;1.4996;0.2
2010.25;2013;1.67;1.5157;0.2
2010.25;2013.25;1.75;1.5175;0.2
2010.5;2010.5;3;0.6095;0.09
2010.5;2010.75;3.04;0.879;0.13
2010.5;2011;2.97;1.1063;0.17
2010.5;2011.25;2.77;1.2713;0.19
2010.5;2011.5;2.58;1.3382;0.2
2010.5;2011.75;2.16;1.3662;0.25
2010.5;2012;1.22;1.3942;0.31
2010.5;2012.25;1.23;1.4221;0.37
2010.5;2012.5;1.32;1.4781;0.4
2010.5;2012.75;1.38;1.4874;0.4
2010.5;2013;1.44;1.4996;0.4
2010.5;2013.25;1.5;1.5157;0.4
2010.5;2013.5;1.56;1.5175;0.4
2010.75;2010.75;3.23;0.6095;0.05
2010.75;2011;3.55;0.879;0.07
2010.75;2011.25;3.39;1.1063;0.08
2010.75;2011.5;3.2;1.2713;0.1
2010.75;2011.75;2.93;1.3382;0.1
2010.75;2012;1.95;1.3662;0.18
2010.75;2012.25;1.7;1.3942;0.26
2010.75;2012.5;1.59;1.4221;0.35
2010.75;2012.75;1.45;1.4781;0.4
2010.75;2013;1.43;1.4874;0.4
2010.75;2013.25;1.45;1.4996;0.4
2010.75;2013.5;1.5;1.5157;0.4
2010.75;2013.75;1.56;1.5175;0.4
2011;2011;4.08;0.6095;0.05
2011;2011.25;4.37;0.879;0.07
2011;2011.5;4.45;1.1063;0.08
2011;2011.75;4.11;1.2713;0.1
2011;2012;2.7;1.3382;0.1
2011;2012.25;2.27;1.3662;0.18
2011;2012.5;1.99;1.3942;0.26
2011;2012.75;1.77;1.4221;0.35
2011;2013;1.62;1.4781;0.4
2011;2013.25;1.62;1.4874;0.4
2011;2013.5;1.64;1.4996;0.4
2011;2013.75;1.67;1.5157;0.4
2011;2014;1.72;1.5175;0.4
2011.25;2011.25;4.5;0.6095;0.05
2011.25;2011.5;4.96;0.879;0.07
2011.25;2011.75;4.93;1.1063;0.08
2011.25;2012;3.68;1.2713;0.1
2011.25;2012.25;2.99;1.3382;0.1
2011.25;2012.5;2.55;1.3662;0.13
2011.25;2012.75;2.27;1.3942;0.15
2011.25;2013;2.04;1.4221;0.18
2011.25;2013.25;1.9;1.4781;0.2
2011.25;2013.5;1.9;1.4874;0.2
2011.25;2013.75;1.9;1.4996;0.2
2011.25;2014;1.9;1.5157;0.2
2011.25;2014.25;1.9;1.5175;0.2
2011.5;2011.5;4.62;0.6095;0.0455
2011.5;2011.75;4.98;0.879;0.0657
2011.5;2012;3.62;1.1063;0.0827
2011.5;2012.25;3.25;1.2713;0.095
2011.5;2012.5;3.01;1.3382;0.1
2011.5;2012.75;2.06;1.3662;0.125
2011.5;2013;1.82;1.3942;0.15
2011.5;2013.25;1.71;1.4221;0.175
2011.5;2013.5;1.73;1.4781;0.2
2011.5;2013.75;1.71;1.4874;0.2
2011.5;2014;1.72;1.4996;0.2
2011.5;2014.25;1.72;1.5157;0.2
2011.5;2014.5;1.74;1.5175;0.2
2011.75;2011.75;4.71;0.61;0
2011.75;2012;3.43;0.88;0
2011.75;2012.25;2.96;1.11;0
2011.75;2012.5;2.46;1.27;0
2011.75;2012.75;1.72;1.34;0
2011.75;2013;1.33;1.37;0
2011.75;2013.25;1.21;1.39;0
2011.75;2013.5;1.22;1.42;0
2011.75;2013.75;1.27;1.48;0
2011.75;2014;1.32;1.49;0
2011.75;2014.25;1.35;1.5;0
2011.75;2014.5;1.42;1.52;0
2011.75;2014.75;1.5;1.52;0
2012;2012;3.35;0.61;0
2012;2012.25;2.97;0.88;0
2012;2012.5;2.53;1.11;0
2012;2012.75;1.87;1.27;0
2012;2013;1.61;1.34;0
2012;2013.25;1.65;1.37;0
2012;2013.5;1.69;1.39;0
2012;2013.75;1.77;1.42;0
2012;2014;1.78;1.48;0
2012;2014.25;1.79;1.49;0
2012;2014.5;1.81;1.5;0
2012;2014.75;1.85;1.52;0
2012;2015;1.9;1.52;0
2012.25;2012.25;3.19;0.61;0
2012.25;2012.5;3.15;0.88;0
2012.25;2012.75;2.93;1.11;0
2012.25;2013;2.57;1.27;0
2012.25;2013.25;2.32;1.34;0
2012.25;2013.5;1.9;1.37;0.05
2012.25;2013.75;1.65;1.39;0.1
2012.25;2014;1.58;1.42;0.15
2012.25;2014.25;1.58;1.48;0.2
2012.25;2014.5;1.59;1.49;0.2
2012.25;2014.75;1.62;1.5;0.2
2012.25;2015;1.66;1.52;0.2
2012.25;2015.25;1.71;1.52;0.2
2012.5;2012.5;2.35;0.61;0
2012.5;2012.75;2.19;0.88;0
2012.5;2013;2.12;1.11;0
2012.5;2013.25;2.32;1.27;0
2012.5;2013.5;2.15;1.34;0
2012.5;2013.75;1.86;1.37;0
2012.5;2014;1.69;1.39;0
2012.5;2014.25;1.62;1.42;0
2012.5;2014.5;1.68;1.48;0
2012.5;2014.75;1.7;1.49;0
2012.5;2015;1.71;1.5;0
2012.5;2015.25;1.76;1.52;0
2012.5;2015.5;1.81;1.52;0
2012.75;2012.75;2.57;0.61;0
2012.75;2013;2.53;0.88;0
2012.75;2013.25;2.66;1.11;0
2012.75;2013.5;2.63;1.27;0
2012.75;2013.75;2.31;1.34;0
2012.75;2014;2.09;1.37;0
2012.75;2014.25;2.05;1.39;0
2012.75;2014.5;1.94;1.42;0
2012.75;2014.75;1.82;1.48;0
2012.75;2015;1.81;1.49;0
2012.75;2015.25;1.82;1.5;0
2012.75;2015.5;1.88;1.52;0
2012.75;2015.75;1.88;1.52;0
2013;2013;2.73;0.61;0
2013;2013.25;2.92;0.88;0
2013;2013.5;3.22;1.11;0
2013;2013.75;3.13;1.27;0
2013;2014;2.95;1.34;0
2013;2014.25;2.82;1.37;0
2013;2014.5;2.53;1.39;0
2013;2014.75;2.41;1.42;0
2013;2015;2.32;1.48;0
2013;2015.25;2.23;1.49;0
2013;2015.5;2.13;1.5;0
2013;2015.75;2.01;1.52;0
2013;2016;1.96;1.52;0
2013.25;2013.25;2.9;0.61;0
2013.25;2013.5;3.07;0.88;0
2013.25;2013.75;2.89;1.11;0
2013.25;2014;2.75;1.27;0
2013.25;2014.25;2.61;1.34;0
2013.25;2014.5;2.37;1.37;0
2013.25;2014.75;2.11;1.39;0
2013.25;2015;2.03;1.42;0
2013.25;2015.25;2.02;1.48;0
2013.25;2015.5;1.98;1.49;0
2013.25;2015.75;1.92;1.5;0
2013.25;2016;1.93;1.52;0
2013.25;2016.25;1.92;1.52;0
2013.5;2013.5;2.82;0.61;0
2013.5;2013.75;2.86;0.88;0
2013.5;2014;2.78;1.11;0
2013.5;2014.25;2.67;1.27;0
2013.5;2014.5;2.45;1.34;0
2013.5;2014.75;2.2;1.37;0
2013.5;2015;2.05;1.39;0
2013.5;2015.25;2.01;1.42;0
2013.5;2015.5;1.96;1.48;0
2013.5;2015.75;1.89;1.49;0
2013.5;2016;1.9;1.5;0
2013.5;2016.25;1.92;1.52;0
2013.5;2016.5;1.93;1.52;0
2013.75;2013.75;2.2;0.61;0
2013.75;2014;2.23;0.88;0
2013.75;2014.25;2.19;1.11;0
2013.75;2014.5;2.08;1.27;0
2013.75;2014.75;2.12;1.34;0
2013.75;2015;1.98;1.37;0
2013.75;2015.25;1.94;1.39;0
2013.75;2015.5;1.93;1.42;0
2013.75;2015.75;1.93;1.48;0
2013.75;2016;1.94;1.49;0
2013.75;2016.25;1.94;1.5;0
2013.75;2016.5;1.95;1.52;0
2013.75;2016.75;1.95;1.52;0
